step,tokens_seen,train_loss,val_loss,val_perplexity,learning_rate,wall_time_sec
1,524288,696.0961112976074,,,2.6246719160104988e-06,9.810271263122559
2,1048576,695.2391109466553,,,3.937007874015748e-06,17.380483150482178
3,1572864,693.1286296844482,,,5.2493438320209976e-06,24.94699764251709
4,2097152,689.8708839416504,,,6.561679790026247e-06,32.50730037689209
5,2621440,686.4717044830322,,,7.874015748031496e-06,40.07279682159424
6,3145728,682.4467840194702,,,9.186351706036746e-06,47.63853883743286
7,3670016,678.3601503372192,,,1.0498687664041995e-05,55.195361614227295
8,4194304,673.5854377746582,,,1.1811023622047245e-05,62.75524973869324
9,4718592,669.982626914978,,,1.3123359580052494e-05,70.31107306480408
10,5242880,666.5979509353638,10.331324253082276,30678.711393463702,1.4435695538057743e-05,82.55276226997375
11,5767168,663.0777959823608,,,1.5748031496062993e-05,91.95989656448364
12,6291456,658.9908514022827,,,1.706036745406824e-05,99.52479267120361
13,6815744,654.896731376648,,,1.837270341207349e-05,107.09015130996704
14,7340032,650.3017873764038,,,1.968503937007874e-05,114.6498110294342
15,7864320,645.9497451782227,,,2.099737532808399e-05,122.20776844024658
16,8388608,641.5073862075806,,,2.2309711286089238e-05,129.76791334152222
17,8912896,636.6742324829102,,,2.362204724409449e-05,137.33133220672607
18,9437184,631.3432140350342,,,2.4934383202099737e-05,144.89898443222046
19,9961472,625.6657381057739,,,2.6246719160104988e-05,152.4637644290924
20,10485760,621.4493370056152,9.593334398269654,14666.692685904442,2.7559055118110236e-05,164.71216702461243
21,11010048,615.9440469741821,,,2.8871391076115487e-05,174.14638137817383
22,11534336,611.4703874588013,,,3.0183727034120734e-05,181.71084070205688
23,12058624,608.0510606765747,,,3.1496062992125985e-05,189.28150153160095
24,12582912,605.0515365600586,,,3.280839895013123e-05,196.84509205818176
25,13107200,601.8698310852051,,,3.412073490813648e-05,204.40140199661255
26,13631488,597.6841726303101,,,3.5433070866141735e-05,211.95622777938843
27,14155776,594.731122970581,,,3.674540682414698e-05,219.50533843040466
28,14680064,590.7585916519165,,,3.805774278215223e-05,227.07088899612427
29,15204352,588.812578201294,,,3.937007874015748e-05,234.62721133232117
30,15728640,586.0877723693848,,,4.068241469816273e-05,242.18229055404663
31,16252928,582.9031372070312,,,4.199475065616798e-05,249.73905062675476
32,16777216,579.3297367095947,,,4.330708661417323e-05,257.29593300819397
33,17301504,577.1371488571167,,,4.4619422572178476e-05,264.85382318496704
34,17825792,573.3534955978394,,,4.593175853018373e-05,272.4111430644989
35,18350080,570.1341228485107,,,4.724409448818898e-05,279.9654109477997
36,18874368,568.1041297912598,,,4.8556430446194226e-05,287.52142119407654
37,19398656,565.4500160217285,,,4.9868766404199474e-05,295.0787761211395
38,19922944,561.0008764266968,,,5.118110236220473e-05,302.6349427700043
39,20447232,558.2065162658691,,,5.2493438320209976e-05,310.19156217575073
40,20971520,554.5799503326416,,,5.3805774278215223e-05,317.74700236320496
41,21495808,551.652063369751,,,5.511811023622047e-05,325.30233502388
42,22020096,549.5414295196533,,,5.643044619422572e-05,332.8620672225952
43,22544384,546.6529512405396,,,5.774278215223097e-05,340.4175045490265
44,23068672,543.2104759216309,,,5.905511811023622e-05,347.975328207016
45,23592960,539.3804683685303,,,6.036745406824147e-05,355.53187441825867
46,24117248,536.5671043395996,,,6.167979002624672e-05,363.0870363712311
47,24641536,534.1639127731323,,,6.299212598425197e-05,370.6441774368286
48,25165824,531.6234617233276,,,6.430446194225722e-05,378.200257062912
49,25690112,526.6171426773071,,,6.561679790026247e-05,385.7587950229645
50,26214400,523.421416759491,8.110750398635865,3330.0759770191103,6.692913385826773e-05,397.9999120235443
51,26738688,522.6611256599426,,,6.824146981627296e-05,407.4215016365051
52,27262976,518.2475895881653,,,6.955380577427822e-05,414.97670316696167
53,27787264,515.756453037262,,,7.086614173228347e-05,422.53697633743286
54,28311552,512.4811615943909,,,7.217847769028872e-05,430.1012189388275
55,28835840,509.3343405723572,,,7.349081364829397e-05,437.6676754951477
56,29360128,507.1176447868347,,,7.480314960629921e-05,445.2292010784149
57,29884416,504.4859890937805,,,7.611548556430446e-05,452.7945513725281
58,30408704,502.1462140083313,,,7.742782152230972e-05,460.3535370826721
59,30932992,501.7103590965271,,,7.874015748031496e-05,467.9112277030945
60,31457280,495.9373707771301,,,8.005249343832022e-05,475.47281670570374
