/workspace/scripts/pretrain_on_tokens.py:75: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=args.mixed_precision == "fp16")
`loss_type=None` was set in the config but it is unrecognized. Using the default loss: `ForCausalLMLoss`.
step=5050/10010 tokens=82739200 loss=9.065198 lr=5.790868e-05
step=5100/10010 tokens=83558400 loss=7.999751 lr=5.704670e-05
step=5150/10010 tokens=84377600 loss=8.731930 lr=5.618258e-05
step=5200/10010 tokens=85196800 loss=8.475818 lr=5.531658e-05
step=5250/10010 tokens=86016000 loss=8.464297 lr=5.444897e-05
step=5300/10010 tokens=86835200 loss=8.155549 lr=5.358000e-05
step=5350/10010 tokens=87654400 loss=8.872690 lr=5.270995e-05
step=5400/10010 tokens=88473600 loss=8.417763 lr=5.183907e-05
step=5450/10010 tokens=89292800 loss=8.472009 lr=5.096763e-05
step=5500/10010 tokens=90112000 loss=8.525116 lr=5.009590e-05
step=5550/10010 tokens=90931200 loss=8.087714 lr=4.922414e-05
step=5600/10010 tokens=91750400 loss=8.248959 lr=4.835261e-05
step=5650/10010 tokens=92569600 loss=8.550965 lr=4.748158e-05
step=5700/10010 tokens=93388800 loss=8.529799 lr=4.661133e-05
step=5750/10010 tokens=94208000 loss=8.188858 lr=4.574210e-05
step=5800/10010 tokens=95027200 loss=8.603860 lr=4.487416e-05
step=5850/10010 tokens=95846400 loss=8.539919 lr=4.400778e-05
step=5900/10010 tokens=96665600 loss=8.011892 lr=4.314323e-05
step=5950/10010 tokens=97484800 loss=8.008225 lr=4.228076e-05
step=6000/10010 tokens=98304000 loss=8.293126 lr=4.142064e-05
step=6050/10010 tokens=99123200 loss=7.792080 lr=4.056312e-05
step=6100/10010 tokens=99942400 loss=8.392423 lr=3.970847e-05
step=6150/10010 tokens=100761600 loss=7.780040 lr=3.885696e-05
step=6200/10010 tokens=101580800 loss=8.199625 lr=3.800882e-05
step=6250/10010 tokens=102400000 loss=7.621660 lr=3.716434e-05
