/workspace/scripts/pretrain_on_tokens.py:75: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=args.mixed_precision == "fp16")
`loss_type=None` was set in the config but it is unrecognized. Using the default loss: `ForCausalLMLoss`.
step=4350/10010 tokens=71270400 loss=25.051023 lr=6.960635e-05
step=4400/10010 tokens=72089600 loss=24.010329 lr=6.880144e-05
step=4450/10010 tokens=72908800 loss=25.941013 lr=6.799081e-05
step=4500/10010 tokens=73728000 loss=23.522117 lr=6.717472e-05
step=4550/10010 tokens=74547200 loss=24.585770 lr=6.635340e-05
step=4600/10010 tokens=75366400 loss=25.419343 lr=6.552711e-05
step=4650/10010 tokens=76185600 loss=24.371188 lr=6.469610e-05
step=4700/10010 tokens=77004800 loss=24.734079 lr=6.386062e-05
step=4750/10010 tokens=77824000 loss=25.233893 lr=6.302093e-05
step=4800/10010 tokens=78643200 loss=25.252658 lr=6.217728e-05
step=4850/10010 tokens=79462400 loss=24.173658 lr=6.132993e-05
step=4900/10010 tokens=80281600 loss=25.383488 lr=6.047914e-05
step=4950/10010 tokens=81100800 loss=24.623085 lr=5.962516e-05
step=5000/10010 tokens=81920000 loss=25.280423 lr=5.876825e-05
step=5050/10010 tokens=82739200 loss=24.433849 lr=5.790868e-05
step=5100/10010 tokens=83558400 loss=25.227033 lr=5.704670e-05
step=5150/10010 tokens=84377600 loss=24.129767 lr=5.618258e-05
step=5200/10010 tokens=85196800 loss=24.669888 lr=5.531658e-05
step=5250/10010 tokens=86016000 loss=26.122003 lr=5.444897e-05
step=5300/10010 tokens=86835200 loss=24.312922 lr=5.358000e-05
step=5350/10010 tokens=87654400 loss=25.223459 lr=5.270995e-05
step=5400/10010 tokens=88473600 loss=24.731778 lr=5.183907e-05
step=5450/10010 tokens=89292800 loss=24.995389 lr=5.096763e-05
step=5500/10010 tokens=90112000 loss=24.860208 lr=5.009590e-05
step=5550/10010 tokens=90931200 loss=25.079223 lr=4.922414e-05
step=5600/10010 tokens=91750400 loss=23.838148 lr=4.835261e-05
step=5650/10010 tokens=92569600 loss=25.396400 lr=4.748158e-05
step=5700/10010 tokens=93388800 loss=23.149983 lr=4.661133e-05
step=5750/10010 tokens=94208000 loss=24.782033 lr=4.574210e-05
step=5800/10010 tokens=95027200 loss=25.117184 lr=4.487416e-05
step=5850/10010 tokens=95846400 loss=24.496154 lr=4.400778e-05
step=5900/10010 tokens=96665600 loss=25.249245 lr=4.314323e-05
step=5950/10010 tokens=97484800 loss=25.633975 lr=4.228076e-05
step=6000/10010 tokens=98304000 loss=25.949923 lr=4.142064e-05
step=6050/10010 tokens=99123200 loss=24.979037 lr=4.056312e-05
step=6100/10010 tokens=99942400 loss=25.636687 lr=3.970847e-05
step=6150/10010 tokens=100761600 loss=23.568379 lr=3.885696e-05
step=6200/10010 tokens=101580800 loss=24.896232 lr=3.800882e-05
step=6250/10010 tokens=102400000 loss=24.617743 lr=3.716434e-05
step=6300/10010 tokens=103219200 loss=24.830449 lr=3.632376e-05
step=6350/10010 tokens=104038400 loss=24.567397 lr=3.548733e-05
step=6400/10010 tokens=104857600 loss=24.877477 lr=3.465532e-05
step=6450/10010 tokens=105676800 loss=24.336751 lr=3.382797e-05
step=6500/10010 tokens=106496000 loss=24.977742 lr=3.300553e-05
step=6550/10010 tokens=107315200 loss=25.163129 lr=3.218827e-05
step=6600/10010 tokens=108134400 loss=23.896359 lr=3.137642e-05
step=6650/10010 tokens=108953600 loss=25.133595 lr=3.057023e-05
step=6700/10010 tokens=109772800 loss=24.106571 lr=2.976994e-05
step=6750/10010 tokens=110592000 loss=24.373138 lr=2.897581e-05
step=6800/10010 tokens=111411200 loss=22.875417 lr=2.818807e-05
step=6850/10010 tokens=112230400 loss=24.221242 lr=2.740696e-05
step=6900/10010 tokens=113049600 loss=26.654455 lr=2.663271e-05
step=6950/10010 tokens=113868800 loss=24.749873 lr=2.586558e-05
step=7000/10010 tokens=114688000 loss=25.879261 lr=2.510577e-05
step=7050/10010 tokens=115507200 loss=24.954730 lr=2.435354e-05
step=7100/10010 tokens=116326400 loss=25.774754 lr=2.360910e-05
step=7150/10010 tokens=117145600 loss=25.427797 lr=2.287269e-05
step=7200/10010 tokens=117964800 loss=24.987798 lr=2.214452e-05
step=7250/10010 tokens=118784000 loss=24.935756 lr=2.142482e-05
step=7300/10010 tokens=119603200 loss=24.694965 lr=2.071381e-05
step=7350/10010 tokens=120422400 loss=25.262385 lr=2.001170e-05
step=7400/10010 tokens=121241600 loss=24.768774 lr=1.931870e-05
step=7450/10010 tokens=122060800 loss=25.041385 lr=1.863504e-05
step=7500/10010 tokens=122880000 loss=24.714354 lr=1.796090e-05
step=7550/10010 tokens=123699200 loss=24.189744 lr=1.729651e-05
step=7600/10010 tokens=124518400 loss=24.968546 lr=1.664206e-05
step=7650/10010 tokens=125337600 loss=24.748273 lr=1.599775e-05
step=7700/10010 tokens=126156800 loss=25.305204 lr=1.536378e-05
step=7750/10010 tokens=126976000 loss=24.945644 lr=1.474034e-05
step=7800/10010 tokens=127795200 loss=24.667515 lr=1.412762e-05
step=7850/10010 tokens=128614400 loss=24.359103 lr=1.352580e-05
step=7900/10010 tokens=129433600 loss=25.502663 lr=1.293507e-05
step=7950/10010 tokens=130252800 loss=24.299761 lr=1.235561e-05
step=8000/10010 tokens=131072000 loss=24.144528 lr=1.178759e-05
step=8050/10010 tokens=131891200 loss=24.820106 lr=1.123119e-05
step=8100/10010 tokens=132710400 loss=25.045671 lr=1.068657e-05
step=8150/10010 tokens=133529600 loss=24.758345 lr=1.015390e-05
step=8200/10010 tokens=134348800 loss=25.462204 lr=9.633354e-06
step=8250/10010 tokens=135168000 loss=25.192231 lr=9.125074e-06
step=8300/10010 tokens=135987200 loss=24.395969 lr=8.629220e-06
step=8350/10010 tokens=136806400 loss=24.766017 lr=8.145943e-06
step=8400/10010 tokens=137625600 loss=24.604788 lr=7.675390e-06
step=8450/10010 tokens=138444800 loss=25.162131 lr=7.217703e-06
step=8500/10010 tokens=139264000 loss=24.744515 lr=6.773022e-06
step=8550/10010 tokens=140083200 loss=24.583399 lr=6.341483e-06
step=8600/10010 tokens=140902400 loss=24.232885 lr=5.923215e-06
step=8650/10010 tokens=141721600 loss=25.110476 lr=5.518347e-06
step=8700/10010 tokens=142540800 loss=24.353496 lr=5.127002e-06
step=8750/10010 tokens=143360000 loss=24.170498 lr=4.749298e-06
