step,tokens_seen,train_loss,val_loss,val_perplexity,learning_rate,wall_time_sec
1,524288,702.8169765472412,,,2.6246719160104988e-06,9.327566146850586
2,1048576,701.0561609268188,,,3.937007874015748e-06,16.84525775909424
3,1572864,697.6241798400879,,,5.2493438320209976e-06,24.446012496948242
4,2097152,692.7702341079712,,,6.561679790026247e-06,31.995182991027832
5,2621440,686.4772396087646,,,7.874015748031496e-06,39.549657344818115
6,3145728,679.4333000183105,,,9.186351706036746e-06,47.10261797904968
7,3670016,672.5193643569946,,,1.0498687664041995e-05,54.65690016746521
8,4194304,665.1938886642456,,,1.1811023622047245e-05,62.20968055725098
9,4718592,658.9475574493408,,,1.3123359580052494e-05,69.75949788093567
10,5242880,653.2890739440918,10.048908100128173,23130.516843373567,1.4435695538057743e-05,82.02713179588318
11,5767168,647.8097953796387,,,1.5748031496062993e-05,91.3778817653656
12,6291456,642.8274526596069,,,1.706036745406824e-05,98.93316411972046
13,6815744,637.3809299468994,,,1.837270341207349e-05,106.49053883552551
14,7340032,632.8077239990234,,,1.968503937007874e-05,114.04867124557495
15,7864320,629.3398036956787,,,2.099737532808399e-05,121.60168552398682
16,8388608,625.9458312988281,,,2.2309711286089238e-05,129.15120482444763
17,8912896,623.1088676452637,,,2.362204724409449e-05,136.69936418533325
18,9437184,619.8487205505371,,,2.4934383202099737e-05,144.24847650527954
19,9961472,617.327883720398,,,2.6246719160104988e-05,151.79785823822021
20,10485760,615.1835527420044,9.52171537399292,13653.01115871299,2.7559055118110236e-05,164.03847861289978
21,11010048,611.7468185424805,,,2.8871391076115487e-05,173.4298996925354
22,11534336,609.2859210968018,,,3.0183727034120734e-05,180.9836883544922
23,12058624,608.162844657898,,,3.1496062992125985e-05,188.53249526023865
24,12582912,606.8452033996582,,,3.280839895013123e-05,196.0823736190796
25,13107200,604.7506055831909,,,3.412073490813648e-05,203.63264107704163
26,13631488,601.9717321395874,,,3.5433070866141735e-05,211.18218636512756
27,14155776,600.4009284973145,,,3.674540682414698e-05,218.7336778640747
28,14680064,597.3666667938232,,,3.805774278215223e-05,226.2879569530487
29,15204352,596.3376808166504,,,3.937007874015748e-05,233.84094977378845
30,15728640,593.9856224060059,,,4.068241469816273e-05,241.39089632034302
31,16252928,591.4297409057617,,,4.199475065616798e-05,248.9419801235199
32,16777216,588.3747224807739,,,4.330708661417323e-05,256.49159502983093
33,17301504,586.5001373291016,,,4.4619422572178476e-05,264.0411641597748
34,17825792,583.3389358520508,,,4.593175853018373e-05,271.5886652469635
35,18350080,580.4273595809937,,,4.724409448818898e-05,279.14325189590454
